x,y,s,s_norm,track_yaw_rad,kappa,w_l,w_r,n_x,n_y
8.3106,-3.4833,10.4386,0.4280,-1.7074,-0.6137,1.1350,0.6950,0.9907,-0.1362
8.3031,-3.5319,10.4877,0.4300,-1.7390,-0.6265,1.1450,0.6950,0.9859,-0.1674
8.2941,-3.5803,10.5370,0.4320,-1.7713,-0.6382,1.1550,0.6850,0.9800,-0.1991
8.2834,-3.6287,10.5865,0.4340,-1.8042,-0.6488,1.2350,0.7350,0.9729,-0.2313
8.2711,-3.6769,10.6363,0.4361,-1.8378,-0.6582,1.2550,0.7250,0.9646,-0.2638
8.2570,-3.7250,10.6864,0.4381,-1.8719,-0.6666,1.2850,0.7250,0.9550,-0.2965
8.2413,-3.7730,10.7369,0.4402,-1.9060,-0.6739,1.2650,0.7150,0.9443,-0.3290
8.2237,-3.8207,10.7877,0.4423,-1.9401,-0.6802,1.2950,0.7050,0.9326,-0.3609
8.2045,-3.8680,10.8388,0.4444,-1.9741,-0.6854,1.3350,0.6950,0.9198,-0.3925
8.1835,-3.9148,10.8901,0.4465,-2.0084,-0.6898,1.3750,0.6750,0.9058,-0.4238
8.1609,-3.9610,10.9416,0.4486,-2.0430,-0.6932,1.3750,0.6650,0.8906,-0.4549
8.1367,-4.0065,10.9931,0.4507,-2.0782,-0.6959,1.4250,0.6550,0.8740,-0.4859
8.1109,-4.0511,11.0446,0.4528,-2.1140,-0.6979,1.4250,0.6350,0.8561,-0.5169
8.0834,-4.0947,11.0961,0.4549,-2.1507,-0.6992,1.4350,0.6150,0.8365,-0.5479
8.0545,-4.1372,11.1475,0.4570,-2.1884,-0.7001,1.4450,0.5950,0.8153,-0.5791
8.0240,-4.1784,11.1988,0.4591,-2.2272,-0.7006,1.4050,0.5750,0.7922,-0.6103
7.9920,-4.2183,11.2499,0.4612,-2.2674,-0.7007,1.4350,0.5550,0.7670,-0.6416
7.9585,-4.2567,11.3009,0.4633,-2.3090,-0.7007,1.4550,0.5350,0.7397,-0.6729
7.9236,-4.2934,11.3516,0.4654,-2.3522,-0.7006,1.4850,0.5350,0.7099,-0.7043
7.8872,-4.3285,11.4021,0.4675,-2.3972,-0.7004,1.5050,0.5550,0.6775,-0.7355
7.8495,-4.3616,11.4523,0.4695,-2.4440,-0.7003,1.5350,0.5250,0.6423,-0.7664
7.8104,-4.3929,11.5024,0.4716,-2.4921,-0.7003,1.6150,0.4950,0.6048,-0.7964
7.7699,-4.4221,11.5522,0.4736,-2.5392,-0.7005,1.6250,0.4950,0.5666,-0.8240
7.7283,-4.4493,11.6019,0.4757,-2.5854,-0.7008,1.6250,0.5050,0.5279,-0.8493
7.6856,-4.4745,11.6516,0.4777,-2.6306,-0.7012,1.6150,0.4650,0.4891,-0.8722
7.6418,-4.4978,11.7012,0.4797,-2.6747,-0.7018,1.5550,0.4850,0.4501,-0.8930
7.5971,-4.5191,11.7507,0.4818,-2.7178,-0.7024,1.5450,0.4950,0.4112,-0.9115
7.5515,-4.5386,11.8002,0.4838,-2.7599,-0.7025,1.5050,0.5050,0.3725,-0.9280
7.5052,-4.5560,11.8498,0.4858,-2.8011,-0.7033,1.4550,0.4650,0.3339,-0.9426
7.4582,-4.5716,11.8993,0.4878,-2.8414,-0.7062,1.4250,0.4750,0.2957,-0.9553
7.4105,-4.5854,11.9489,0.4899,-2.8808,-0.7105,1.4450,0.4850,0.2578,-0.9662
7.3624,-4.5972,11.9985,0.4919,-2.9195,-0.7149,1.4150,0.4850,0.2202,-0.9754
7.3138,-4.6072,12.0480,0.4939,-2.9575,-0.7184,1.3950,0.4950,0.1830,-0.9831
7.2650,-4.6154,12.0976,0.4960,-2.9949,-0.7209,1.3750,0.5050,0.1462,-0.9893
7.2158,-4.6217,12.1471,0.4980,-3.0318,-0.7222,1.3650,0.5050,0.1096,-0.9940
7.1665,-4.6262,12.1966,0.5000,-3.0682,-0.7221,1.3550,0.5050,0.0733,-0.9973
7.1172,-4.6290,12.2461,0.5021,-3.1048,-0.7206,1.3550,0.5050,0.0368,-0.9993
7.0678,-4.6298,12.2954,0.5041,3.1393,-0.7176,1.3550,0.5050,-0.0023,-1.0000
7.0186,-4.6287,12.3447,0.5061,3.0975,-0.7131,1.3550,0.5050,-0.0441,-0.9990
6.9695,-4.6254,12.3939,0.5081,3.0528,-0.7071,1.3650,0.5050,-0.0887,-0.9961
6.9207,-4.6199,12.4430,0.5101,3.0052,-0.6995,1.4250,0.5550,-0.1360,-0.9907
6.8723,-4.6120,12.4920,0.5121,2.9546,-0.6902,1.4450,0.5550,-0.1859,-0.9826
6.8243,-4.6016,12.5411,0.5142,2.9013,-0.6792,1.4750,0.5450,-0.2380,-0.9713
6.7768,-4.5886,12.5904,0.5162,2.8452,-0.6666,1.5050,0.5450,-0.2921,-0.9564
6.7300,-4.5728,12.6398,0.5182,2.7900,-0.6524,1.5550,0.5350,-0.3444,-0.9388
6.6838,-4.5545,12.6895,0.5202,2.7399,-0.6364,1.5550,0.5350,-0.3909,-0.9204
6.6382,-4.5339,12.7395,0.5223,2.6949,-0.6189,1.5550,0.5750,-0.4320,-0.9019
6.5934,-4.5113,12.7897,0.5244,2.6545,-0.6001,1.5550,0.5550,-0.4680,-0.8837
6.5492,-4.4869,12.8402,0.5264,2.6187,-0.5800,1.4950,0.5850,-0.4994,-0.8664
6.5058,-4.4609,12.8907,0.5285,2.5870,-0.5587,1.4950,0.5850,-0.5266,-0.8501
6.4632,-4.4337,12.9413,0.5306,2.5594,-0.5359,1.4550,0.5950,-0.5499,-0.8352
6.4214,-4.4054,12.9918,0.5326,2.5353,-0.5119,1.4250,0.5950,-0.5698,-0.8218
6.3804,-4.3763,13.0421,0.5347,2.5129,-0.4865,1.3950,0.6050,-0.5881,-0.8088
6.3401,-4.3463,13.0923,0.5368,2.4917,-0.4599,1.3650,0.6050,-0.6051,-0.7961
6.3005,-4.3156,13.1424,0.5388,2.4716,-0.4320,1.3650,0.6250,-0.6210,-0.7838
6.2616,-4.2842,13.1924,0.5409,2.4528,-0.4031,1.3650,0.6050,-0.6356,-0.7720
6.2233,-4.2521,13.2424,0.5429,2.4353,-0.3732,1.3550,0.6350,-0.6491,-0.7607
6.1855,-4.2193,13.2924,0.5450,2.4190,-0.3423,1.3550,0.6750,-0.6613,-0.7501
6.1483,-4.1860,13.3424,0.5470,2.4040,-0.3106,1.3550,0.6550,-0.6725,-0.7401
6.1115,-4.1521,13.3924,0.5491,2.3904,-0.2782,1.3450,0.6950,-0.6825,-0.7308
6.0751,-4.1177,13.4425,0.5511,2.3780,-0.2453,1.3350,0.6950,-0.6915,-0.7224
6.0391,-4.0828,13.4926,0.5532,2.3670,-0.2119,1.3250,0.7150,-0.6994,-0.7147
6.0035,-4.0476,13.5427,0.5552,2.3573,-0.1763,1.2550,0.7550,-0.7063,-0.7079
5.9681,-4.0119,13.5930,0.5573,2.3489,-0.1391,1.1950,0.7250,-0.7122,-0.7020
5.9329,-3.9760,13.6433,0.5593,2.3419,-0.1008,1.1450,0.7750,-0.7171,-0.6969
5.8979,-3.9397,13.6937,0.5614,2.3362,-0.0623,1.1450,0.8150,-0.7211,-0.6928
